fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2016-02-08,0.8070175438596491,37.86197916666666,32.325520833333336,70.13541666666667,25.195,77.34791666666666,27.148541114058357,15.047619047619047
2016-02-09,0.6171052631578947,12.465686274509803,32.81127450980392,45.2671568627451,22.33333333333333,54.37903225806452,25.08355091383812,12.721669980119284
2016-02-10,0.7451127819548872,22.685393258426966,37.90730337078652,60.592696629213485,16.96564885496183,59.57936507936508,33.00262467191601,25.55454545454545
2016-02-11,0.7938053097345132,29.374384236453203,36.8128078817734,66.20443349753694,28.02675585284281,61.48,31.11488250652741,16.647410358565736
2016-02-12,0.668640350877193,28.135135135135137,30.914004914004916,59.07125307125307,28.25542570951586,58.82424242424243,22.6710875331565,11.398809523809524
2016-02-13,0.5570175438596491,18.164619164619165,28.538083538083537,46.67567567567568,28.707846410684475,54.544921875,22.487562189054728,13.700396825396826
2016-02-14,0.8995614035087719,23.28186274509804,37.94117647058823,61.21078431372549,40.31,88.0190114068441,59.12990196078432,15.77579365079365
2016-02-15,1.0323529411764707,36.75380710659898,43.31472081218274,80.03299492385787,37.525597269624576,82.4209486166008,39.861182519280206,6.428571428571429
2016-02-16,0.8962311557788945,29.105105105105107,44.51951951951952,73.61261261261261,42.08045977011494,73.59375,32.765957446808514,5.186788154897494
2016-02-17,0.7884705882352941,38.61290322580645,31.75537634408602,70.38172043010752,27.647959183673468,71.54149377593362,22.386301369863013,3.5386178861788617
2016-02-18,0.82421875,30.758333333333333,42.87222222222222,73.64722222222223,35.60034904013962,76.26722338204593,35.67368421052632,15.857442348008384
2016-02-19,0.8843915343915344,31.63771712158809,41.059553349875934,72.73200992555832,37.22968197879859,86.74315789473684,39.222811671087534,25.19578947368421
2016-02-20,0.715485564304462,21.307125307125308,38.71744471744472,60.02211302211303,36.79755671902269,74.41772151898734,40.91315789473684,26.32075471698113
2016-02-21,0.821875,16.72972972972973,36.42997542997543,53.11793611793612,49.28472222222222,72.7737843551797,40.268929503916446,10.614583333333334
2016-02-22,0.7996587030716724,26.732142857142858,33.205357142857146,59.93154761904762,44.14884696016772,77.99365750528541,31.911845730027547,4.206030150753769
2016-02-23,0.6729528535980149,18.96401028277635,30.917737789203084,49.88946015424165,41.68495575221239,62.406047516198704,25.09116809116809,3.0798319327731094
2016-02-24,0.7105,12.96031746031746,36.026455026455025,49.00529100529101,38.11032028469751,88.22641509433963,35.85515320334262,9.908315565031982
2016-02-25,0.7446759259259259,23.32089552238806,36.38059701492537,59.66915422885573,39.54713804713805,85.20518358531318,35.63037249283668,21.94291754756871
2016-02-26,0.7590476190476191,19.241975308641976,36.29876543209877,55.5283950617284,40.48979591836735,77.58369098712447,39.537433155080215,15.85897435897436
2016-02-27,0.5720279720279721,10.376847290640391,30.69704433497537,41.04679802955665,29.40268456375839,56.55555555555556,34.96031746031746,13.9832285115304
2016-02-28,0.521859296482412,7.565333333333333,22.872,30.418666666666667,33.575367647058826,37.0615711252654,24.131233595800524,2.929705215419501
2016-02-29,0.6702882483370288,17.03271028037383,29.94158878504673,46.98831775700935,32.62662337662338,50.53879310344828,29.306451612903224,7.985971943887775
2016-03-01,0.8196467991169978,21.4037558685446,34.96948356807512,56.32863849765258,24.593851132686083,51.01902748414376,29.37333333333333,2.706
2016-03-02,0.7891402714932126,22.432242990654206,32.6892523364486,55.14252336448598,13.811993517017829,36.09090909090909,22.22311827956989,6.062124248496994
2016-03-03,0.9347319347319348,35.58313817330211,31.229508196721312,66.79625292740047,25.06655844155844,46.705263157894734,26.515625,3.4475806451612905
2016-03-04,0.5061503416856492,9.803695150115471,22.72055427251732,32.51270207852194,29.703225806451613,32.94933920704846,15.168508287292818,2.5404339250493098
2016-03-05,0.5591885441527447,17.45088161209068,23.639798488664987,41.11586901763224,34.118374558303884,35.521186440677965,17.091397849462364,4.262472885032538
2016-03-06,0.5841004184100418,11.951219512195122,24.583148558758317,36.53880266075388,39.69969040247678,39.432203389830505,21.29177718832891,2.8612167300380227
2016-03-07,0.5494736842105263,11.738359201773836,22.88248337028825,34.58758314855876,34.88235294117647,43.77070063694268,19.305039787798407,1.5608365019011408
2016-03-08,0.3711827956989247,7.520879120879121,14.041758241758242,21.564835164835166,28.57987220447284,37.69976905311778,11.581120943952802,1.25390625
2016-03-09,0.3663157894736842,5.883905013192612,10.525065963060689,16.398416886543536,24.64225941422594,10.925806451612903,4.609756097560975,1.0
2016-03-10,0.2930174563591022,2.968215158924205,10.374083129584353,13.312958435207824,46.04382470119522,17.25901639344262,5.087412587412588,0.8455882352941176
2016-03-11,0.4915841584158416,12.656836461126003,20.648793565683647,33.310991957104555,38.649237472766885,20.3854748603352,7.238244514106583,1.0981912144702843
2016-03-12,0.7424947145877379,21.39675174013921,33.82830626450116,55.24825986078886,44.88203266787659,44.148337595907925,22.07317073170732,1.7841409691629957
2016-03-13,0.7912280701754386,15.666666666666666,35.589371980676326,51.29951690821256,52.46983546617916,53.140957446808514,30.619760479041915,2.939814814814815
2016-03-14,0.8832258064516129,22.667487684729064,39.32758620689656,62.03448275862069,53.8615664845173,64.83689839572193,35.75297619047619,3.027906976744186
2016-03-15,0.7741666666666667,22.025641025641026,37.45687645687646,59.46620046620047,46.803333333333335,63.608108108108105,30.801136363636363,3.250526315789473
2016-03-16,0.7916044776119403,21.47647058823529,36.70392156862745,58.188235294117646,45.17862371888726,65.46170212765958,32.99147727272727,5.24169741697417
2016-03-17,0.7302521008403361,17.053811659192824,33.24439461883408,50.26008968609865,47.195615514333895,62.125531914893614,36.16477272727273,3.940265486725664
2016-03-18,0.6125461254612546,18.844444444444445,28.216161616161617,47.084848484848486,28.167904903417533,49.12770562770563,23.79656160458453,3.483495145631068
2016-03-19,0.4669691470054447,17.231732776617953,21.359081419624214,38.55741127348643,23.38753799392097,33.2609649122807,12.310650887573964,1.510054844606947
2016-03-20,0.4475499092558984,7.608349900596422,22.68986083499006,30.274353876739564,24.19672131147541,47.61087866108787,24.01675977653631,11.328493647912886
2016-03-21,0.5934782608695652,12.089285714285714,28.72023809523809,40.78769841269841,21.11458333333333,48.05636743215031,25.018372703412076,9.148550724637682
2016-03-22,0.6915129151291513,25.07615230460922,31.715430861723448,56.79358717434869,22.726315789473684,58.791011235955054,26.902298850574716,14.736648250460403
2016-03-23,0.676875,28.798561151079134,25.546762589928058,54.35491606714629,19.916666666666668,53.79028697571744,22.06703910614525,2.8766233766233764
2016-03-24,0.5465201465201466,24.30208333333333,19.666666666666668,43.97291666666667,18.621329211746524,38.83221476510067,15.625352112676056,1.8159392789373812
2016-03-25,0.4094202898550724,10.327380952380953,15.476190476190476,25.813492063492063,21.02380952380953,32.62447257383966,15.30971128608924,1.9365942028985508
2016-03-26,0.3188747731397459,5.908183632734531,13.542914171656689,19.49700598802395,23.849478390462,22.0,9.447089947089948,1.1687840290381126
2016-03-27,0.479890310786106,10.477822580645162,19.52822580645161,30.008064516129032,32.61169415292354,32.06866952789699,13.854111405835544,2.098003629764065
2016-03-28,0.5733333333333334,14.70276008492569,24.774946921443732,39.48619957537155,28.63063063063063,45.08842105263158,19.652631578947368,6.196940726577438
2016-03-29,0.6038461538461538,26.872289156626508,23.64578313253012,50.53975903614458,28.61406518010292,43.44161358811041,17.088,2.0131291028446388
