fecha,tipo_ingreso,linea,ingreso
2022-01-05,Boletos,,111275
2022-01-05,Boletos,,253850
2022-01-05,Boletos,,467125
2022-01-05,Boletos,,283000
2022-01-05,Boletos,,401625
2022-01-05,Boletos,,665125
2022-01-05,Boletos,,0
2022-01-05,Recargas,,1178508.8
2022-01-05,Recargas,,1303501
2022-01-05,Recargas,,1255051.9
2022-01-05,Recargas,,142134
2022-01-05,Recargas,,374534.2
2022-01-05,Recargas,,211815
2022-01-05,Recargas,,650099.2
2022-01-05,Recargas,,906013.5
2022-01-05,Recargas,,669155.7
2022-01-05,Recargas,,492082.2
2022-01-05,Recargas,,912536.5
2022-01-05,Recargas,,0
2022-01-05,Tarjetas,,13770
2022-01-05,Tarjetas,,13515
2022-01-05,Tarjetas,,10050
2022-01-05,Tarjetas,,750
2022-01-05,Tarjetas,,3540
2022-01-05,Tarjetas,,1605
2022-01-05,Tarjetas,,4230
2022-01-05,Tarjetas,,7785
2022-01-05,Tarjetas,Línea 9,4410
2022-01-05,Tarjetas,Línea A,3915
2022-01-05,Tarjetas,Línea B,6525
2022-01-05,Tarjetas,Línea 12,0
2022-01-05,QR/Validación,Línea 1,0
2022-01-05,QR/Validación,Línea 2,0
2022-01-05,QR/Validación,Línea 3,0
2022-01-05,QR/Validación,Línea 4,0
2022-01-05,QR/Validación,Línea 5,0
2022-01-05,QR/Validación,Línea 6,0
2022-01-05,QR/Validación,Línea 7,0
2022-01-05,QR/Validación,Línea 8,0
2022-01-05,QR/Validación,Línea 9,10185
2022-01-05,QR/Validación,Línea A,0
2022-01-05,QR/Validación,Línea B,0
2022-01-05,QR/Validación,Línea 12,0
2022-01-06,Boletos,Línea 1,630850
2022-01-06,Boletos,Línea 2,599450
2022-01-06,Boletos,Línea 3,479825
2022-01-06,Boletos,Línea 4,91550
2022-01-06,Boletos,Línea 5,213400
2022-01-06,Boletos,Línea 6,96575
2022-01-06,Boletos,Línea 7,210900
2022-01-06,Boletos,Línea 8,356950
2022-01-06,Boletos,Línea 9,238775
2022-01-06,Boletos,Línea A,313825
2022-01-06,Boletos,Línea B,454125
2022-01-06,Boletos,Línea 12,0
2022-01-06,Recargas,Línea 1,1049685.3
2022-01-06,Recargas,Línea 2,1122441.3
2022-01-06,Recargas,Línea 3,1121817.9
2022-01-06,Recargas,Línea 4,103991
2022-01-06,Recargas,Línea 5,328879
2022-01-06,Recargas,Línea 6,191091.7
2022-01-06,Recargas,Línea 7,581053.5
2022-01-06,Recargas,Línea 8,799386.5
2022-01-06,Recargas,Línea 9,606399.7
2022-01-06,Recargas,Línea A,578106.9
2022-01-06,Recargas,Línea B,792547.2
2022-01-06,Recargas,Línea 12,0
2022-01-06,Tarjetas,Línea 1,12405
